episode,return,steps,success,end_reason,return_ma,success_rate_ma
218,-29.2,16,0,trap,-31.33625,0.0
219,-34.99999999999999,56,0,trap,-31.441249999999997,0.0
220,-26.5,7,0,trap,-31.355,0.0
221,-29.3,26,0,trap,-31.1,0.0
222,-29.2,25,0,trap,-31.13375,0.0
223,-32.4,39,0,trap,-31.20875,0.0
224,-27.900000000000002,21,0,trap,-31.06125,0.0
225,-29.1,24,0,trap,-30.98125,0.0
226,-26.4,15,0,trap,-30.986250000000002,0.0
227,-31.1,26,0,enemy,-31.026249999999997,0.0
228,-32.599999999999994,41,0,trap,-31.016249999999996,0.0
229,-28.0,13,0,trap,-31.005000000000003,0.0
230,-27.1,13,0,trap,-31.02125,0.0
231,-31.199999999999996,27,0,trap,-30.97875,0.0
232,-26.9,11,0,trap,-30.637499999999996,0.0
233,-32.89999999999999,35,0,trap,-30.7075,0.0
234,-46.30000000000001,61,0,trap,-30.8525,0.0
235,-26.900000000000002,20,0,trap,-30.55125,0.0
236,-27.3,15,0,trap,-30.492499999999996,0.0
237,-53.70000000000003,90,0,trap,-30.848750000000003,0.0
238,-25.8,9,0,trap,-30.6375,0.0
239,-28.200000000000003,15,0,trap,-30.6325,0.0
240,-32.599999999999994,41,0,trap,-30.63625,0.0
241,-30.1,25,0,enemy,-30.53875,0.0
242,-29.999999999999996,42,0,trap,-30.54,0.0
243,-27.900000000000002,12,0,trap,-30.57125,0.0
244,-29.0,14,0,trap,-30.57,0.0
245,-26.6,8,0,trap,-30.4575,0.0
246,-35.499999999999986,52,0,trap,-30.51125,0.0
247,-44.2,67,0,enemy,-30.731249999999996,0.0
248,-36.199999999999996,32,0,trap,-30.82,0.0
249,-37.999999999999986,59,0,trap,-30.953750000000003,0.0
250,-29.7,21,0,trap,-30.9375,0.0
251,-29.700000000000003,21,0,trap,-30.915000000000003,0.0
252,-28.0,13,0,trap,-30.82375,0.0
253,-32.099999999999994,45,0,enemy,-30.87625,0.0
254,-25.7,8,0,trap,-30.78875,0.0
255,-28.5,18,0,trap,-30.6575,0.0
256,-29.6,29,0,enemy,-30.683749999999996,0.0
257,-30.5,20,0,trap,-30.45875,0.0
258,-27.700000000000003,19,0,trap,-30.48875,0.0
259,-25.6,7,0,trap,-30.445,0.0
260,-25.9,10,0,trap,-30.4475,0.0
261,-51.10000000000003,109,0,trap,-30.77125,0.0
262,-27.5,8,0,trap,-30.73875,0.0
263,-28.0,22,0,trap,-30.723750000000003,0.0
264,-30.3,27,0,trap,-30.776249999999997,0.0
265,-25.5,6,0,trap,-30.683750000000003,0.0
266,-28.2,15,0,trap,-30.598750000000003,0.0
267,-25.1,2,0,enemy,-30.6,0.0
268,-35.89999999999999,38,0,trap,-30.69875,0.0
269,-29.599999999999998,29,0,trap,-30.63625,0.0
270,-26.7,9,0,trap,-30.536250000000003,0.0
271,-26.7,18,0,trap,-30.547500000000003,0.0
272,-26.3,5,0,trap,-30.54375,0.0
273,-32.599999999999994,41,0,trap,-30.61375,0.0
274,-29.0,14,0,enemy,-30.651249999999997,0.0
275,-29.1,15,0,trap,-30.658749999999998,0.0
276,-28.400000000000002,17,0,trap,-30.597500000000004,0.0
277,-25.0,1,0,enemy,-30.52375,0.0
278,-39.19999999999999,44,0,trap,-30.642500000000002,0.0
279,-27.0,12,0,trap,-30.57125,0.0
280,-27.5,17,0,trap,-30.54375,0.0
281,-29.999999999999996,42,0,trap,-30.45875,0.0
282,-29.0,23,0,enemy,-30.478749999999998,0.0
283,-27.0,21,0,trap,-30.50125,0.0
284,-33.599999999999994,42,0,enemy,-30.56875,0.0
285,-27.1,13,0,trap,-30.580000000000002,0.0
286,-35.8,55,0,trap,-30.64875,0.0
287,-29.3,35,0,enemy,-30.57,0.0
288,-26.0,11,0,trap,-30.525,0.0
289,-28.400000000000002,17,0,trap,-30.507500000000004,0.0
290,-42.2,83,0,trap,-30.4475,0.0
291,-33.0,36,0,enemy,-30.5125,0.0
292,-28.8,21,0,trap,-30.516250000000003,0.0
293,-29.0,23,0,trap,-30.557500000000005,0.0
294,-25.9,10,0,trap,-30.536249999999995,0.0
295,-32.5,31,0,trap,-30.43125,0.0
296,-28.8,12,0,enemy,-30.475,0.0
297,-30.199999999999996,26,0,trap,-30.517499999999995,0.0
298,-37.99999999999999,68,0,trap,-30.627499999999998,0.0
299,-35.4,42,0,trap,-30.6325,0.0
300,-32.699999999999996,33,0,trap,-30.71,0.0
301,-28.900000000000002,31,0,trap,-30.704999999999995,0.0
302,-31.599999999999994,40,0,trap,-30.735000000000003,0.0
303,-33.39999999999999,31,0,trap,-30.747499999999995,0.0
304,-34.89999999999999,46,0,trap,-30.834999999999997,0.0
305,-34.79999999999999,45,0,trap,-30.90625,0.0
306,-38.599999999999994,56,0,trap,-31.058749999999996,0.0
307,-27.6,18,0,trap,-31.014999999999997,0.0
308,-27.5,17,0,trap,-30.951249999999998,0.0
309,-26.7,18,0,enemy,-30.935000000000002,0.0
310,-26.8,10,0,trap,-30.93125,0.0
311,-34.599999999999994,43,0,trap,-30.973749999999995,0.0
312,-25.7,8,0,enemy,-30.958750000000002,0.0
313,-25.4,5,0,trap,-30.865000000000002,0.0
314,-33.99999999999999,37,0,trap,-30.71125,0.0
315,-29.3,26,0,enemy,-30.741249999999997,0.0
316,-30.0,24,0,trap,-30.775,0.0
317,-25.4,5,0,trap,-30.421249999999997,0.0
318,-31.8,42,0,trap,-30.496250000000003,0.0
319,-28.400000000000002,26,0,enemy,-30.498749999999994,0.0
320,-26.2,13,0,trap,-30.41875,0.0
321,-25.6,7,0,trap,-30.3625,0.0
322,-26.900000000000002,11,0,enemy,-30.32375,0.0
323,-26.8,10,0,trap,-30.309999999999995,0.0
324,-27.9,12,0,trap,-30.296249999999997,0.0
325,-27.7,19,0,enemy,-30.310000000000002,0.0
326,-29.2,25,0,trap,-30.23125,0.0
327,-30.5,29,0,trap,-30.060000000000002,0.0
328,-25.8,9,0,enemy,-29.93,0.0
329,-28.0,31,0,trap,-29.805,0.0
330,-26.8,19,0,enemy,-29.76875,0.0
331,-29.6,29,0,trap,-29.767499999999995,0.0
332,-26.7,9,0,trap,-29.75125,0.0
333,-31.9,34,0,trap,-29.74875,0.0
334,-29.9,23,0,trap,-29.80125,0.0
335,-25.7,8,0,trap,-29.766250000000003,0.0
336,-33.0,27,0,trap,-29.808750000000003,0.0
337,-30.799999999999997,32,0,trap,-29.8125,0.0
338,-27.4,16,0,trap,-29.808749999999996,0.0
339,-26.900000000000002,20,0,trap,-29.825,0.0
340,-30.799999999999994,50,0,trap,-29.88625,0.0
341,-33.99999999999999,46,0,enemy,-29.672500000000003,0.0
342,-27.0,12,0,trap,-29.66625,0.0
343,-33.099999999999994,37,0,trap,-29.73,0.0
344,-27.6,27,0,trap,-29.69625,0.0
345,-29.1,15,0,enemy,-29.741249999999997,0.0
346,-30.4,28,0,enemy,-29.76875,0.0
347,-25.8,9,0,trap,-29.777499999999996,0.0
348,-26.7,9,0,enemy,-29.6625,0.0
349,-30.7,31,0,trap,-29.67625,0.0
350,-30.4,19,0,trap,-29.722499999999997,0.0
351,-26.9,11,0,trap,-29.725,0.0
352,-32.4,39,0,trap,-29.80125,0.0
353,-25.8,9,0,trap,-29.716249999999995,0.0
354,-25.2,3,0,trap,-29.66875,0.0
355,-26.3,5,0,enemy,-29.63375,0.0
356,-25.6,7,0,enemy,-29.598749999999995,0.0
357,-30.2,26,0,enemy,-29.66375,0.0
358,-27.900000000000002,21,0,trap,-29.5225,0.0
359,-29.1,24,0,trap,-29.548750000000002,0.0
360,-27.1,13,0,trap,-29.54375,0.0
361,-27.5,17,0,trap,-29.5125,0.0
362,-30.499999999999996,29,0,trap,-29.53125,0.0
363,-27.9,12,0,trap,-29.5425,0.0
364,-26.4,15,0,trap,-29.452500000000004,0.0
365,-25.7,8,0,trap,-29.434999999999995,0.0
366,-29.599999999999998,29,0,trap,-29.357499999999998,0.0
367,-40.39999999999999,65,0,trap,-29.496249999999996,0.0
368,-26.7,9,0,trap,-29.504999999999995,0.0
369,-27.900000000000002,12,0,trap,-29.498749999999994,0.0
370,-33.49999999999999,59,0,trap,-29.389999999999997,0.0
371,-30.499999999999996,38,0,trap,-29.358749999999997,0.0
372,-25.9,10,0,trap,-29.322499999999998,0.0
373,-28.6,19,0,trap,-29.317499999999995,0.0
374,-32.49999999999999,49,0,trap,-29.4,0.0
375,-28.700000000000003,20,0,trap,-29.352500000000003,0.0
376,-28.5,27,0,trap,-29.348750000000003,0.0
377,-32.99999999999999,45,0,trap,-29.383750000000003,0.0
378,-28.700000000000003,20,0,trap,-29.267500000000002,0.0
379,-32.8,34,0,trap,-29.235000000000003,0.0
380,-26.6,8,0,trap,-29.158749999999998,0.0
381,-33.099999999999994,46,0,trap,-29.21125,0.0
382,-26.3,14,0,trap,-29.145,0.0
383,-29.5,19,0,enemy,-29.096250000000005,0.0
384,-34.499999999999986,78,0,enemy,-29.091250000000002,0.0
385,-25.4,5,0,trap,-28.973749999999995,0.0
386,-27.700000000000003,28,0,trap,-28.8375,0.0
387,-46.599999999999994,109,0,trap,-29.075,0.0
388,-26.2,13,0,trap,-29.058749999999996,0.0
389,-33.2,29,0,trap,-29.139999999999997,0.0
390,-29.700000000000003,30,0,trap,-29.17625,0.0
391,-28.8,30,0,enemy,-29.10375,0.0
392,-27.7,19,0,enemy,-29.128749999999997,0.0
393,-46.80000000000002,111,0,trap,-29.39625,0.0
394,-31.599999999999994,49,0,trap,-29.366249999999997,0.0
395,-26.2,13,0,trap,-29.327499999999997,0.0
396,-28.700000000000003,20,0,enemy,-29.31125,0.0
