episode,return,steps,success,end_reason,return_ma,success_rate_ma
314,-29.4,33,0,enemy,-13.594999999999999,0.275
315,24.2,28,1,goal,-13.504999999999999,0.275
316,-27.700000000000003,43,0,enemy,-13.507499999999999,0.275
317,20.9,34,1,goal,-12.940000000000001,0.2875
318,25.299999999999997,26,1,goal,-12.3325,0.3
319,24.9,21,1,goal,-11.73375,0.3125
320,-23.0,5,0,trap,-11.415000000000001,0.3125
321,-22.6,19,0,enemy,-11.3625,0.3125
322,-23.4,12,0,trap,-11.95625,0.3
323,25.4,25,1,goal,-11.78375,0.3
324,-31.8,33,0,trap,-11.87125,0.3
325,-25.0,25,0,enemy,-11.80875,0.3
326,-24.5,23,0,trap,-12.338750000000001,0.2875
327,-23.3,8,0,trap,-12.32375,0.2875
328,-27.7,16,0,trap,-12.3825,0.2875
329,-24.3,9,0,trap,-12.345,0.2875
330,-23.4,12,0,trap,-12.3475,0.2875
331,25.1,19,1,goal,-11.72375,0.3
332,23.9,40,1,goal,-11.0625,0.3125
333,-24.3,9,0,enemy,-11.03,0.3125
334,24.3,18,1,goal,-10.442499999999999,0.325
335,-22.2,24,0,enemy,-10.45375,0.325
336,23.5,26,1,goal,-9.885,0.3375
337,-20.7,12,0,enemy,-10.242500000000001,0.325
338,14.4,54,1,goal,-9.7875,0.3375
339,-24.0,3,0,trap,-9.78375,0.3375
340,24.5,16,1,goal,-9.1875,0.35
341,17.9,37,1,goal,-8.6625,0.3625
342,-23.2,7,0,trap,-8.6425,0.3625
343,22.2,21,1,goal,-7.727500000000001,0.375
344,21.9,24,1,goal,-7.1362499999999995,0.3875
345,22.0,32,1,goal,-7.09375,0.3875
346,-19.799999999999997,18,0,enemy,-6.9575000000000005,0.3875
347,-22.8,21,0,enemy,-7.475,0.375
348,24.1,20,1,goal,-6.845000000000001,0.3875
349,-24.2,5,0,trap,-6.857499999999999,0.3875
350,-25.2,6,0,trap,-6.84875,0.3875
351,-24.8,8,0,enemy,-7.269999999999999,0.375
352,-20.7,18,0,enemy,-7.251250000000001,0.375
353,-25.8,15,0,trap,-7.269999999999999,0.375
354,22.5,27,1,goal,-6.665000000000001,0.3875
355,23.3,28,1,goal,-6.055000000000001,0.4
356,-22.0,7,0,enemy,-6.0175,0.4
357,23.9,22,1,goal,-5.41,0.4125
358,17.4,33,1,goal,-5.475,0.4125
359,-20.9,14,0,enemy,-5.96375,0.4
360,-22.0,7,0,trap,-5.92,0.4
361,25.9,20,1,goal,-5.30375,0.4125
362,-23.2,7,0,enemy,-5.275,0.4125
363,24.0,21,1,goal,-4.691250000000001,0.425
364,18.4,41,1,goal,-4.07375,0.4375
365,26.4,15,1,goal,-3.44125,0.45
366,25.1,19,1,goal,-2.8237500000000004,0.4625
367,23.599999999999998,34,1,goal,-2.2050000000000005,0.475
368,25.0,20,1,goal,-1.5912500000000003,0.4875
369,24.9,21,1,goal,-1.4200000000000004,0.4875
370,-23.2,7,0,trap,-1.9525000000000006,0.475
371,23.7,33,1,goal,-1.3675000000000004,0.4875
372,21.099999999999998,50,1,goal,-0.8225000000000003,0.5
373,-23.5,10,0,trap,-1.2875000000000003,0.4875
374,-23.0,5,0,trap,-1.2837500000000004,0.4875
375,23.9,22,1,goal,-0.6912500000000004,0.5
376,22.5,18,1,goal,-0.007500000000000373,0.5125
377,-22.8,15,0,enemy,0.051249999999999615,0.5125
378,25.1,19,1,goal,0.04249999999999967,0.5125
379,-23.2,7,0,trap,-0.5437500000000004,0.5
380,22.5,27,1,goal,-0.5212500000000004,0.5
381,-25.7,17,0,trap,-0.5625000000000003,0.5
382,26.3,16,1,goal,0.1787499999999997,0.5125
383,-24.0,6,0,trap,-0.41625000000000034,0.5
384,18.9,45,1,goal,0.10999999999999965,0.5125
385,-23.7,15,0,trap,-0.46875000000000033,0.5
386,24.3,27,1,goal,0.12249999999999965,0.5125
387,-23.0,5,0,trap,0.12624999999999967,0.5125
388,24.5,16,1,goal,0.7362499999999997,0.525
389,23.5,26,1,goal,1.3262499999999995,0.5375
390,23.299999999999997,28,1,goal,1.3724999999999996,0.5375
391,20.6,28,1,goal,1.3174999999999997,0.5375
392,26.1,18,1,goal,1.3787499999999997,0.5375
393,24.3,18,1,goal,1.3937499999999996,0.5375
394,26.2,17,1,goal,2.0887499999999997,0.55
395,26.5,14,1,goal,2.1174999999999997,0.55
396,21.5,28,1,goal,2.7324999999999995,0.5625
397,-22.6,13,0,trap,2.1887499999999998,0.55
398,24.8,22,1,goal,2.1824999999999997,0.55
399,-21.6,30,0,enemy,1.6012499999999998,0.5375
400,-25.1,8,0,enemy,1.5749999999999997,0.5375
401,24.4,17,1,goal,2.1624999999999996,0.55
402,25.8,21,1,goal,2.7774999999999994,0.5625
403,-24.0,18,0,trap,2.1599999999999993,0.55
404,-23.2,7,0,trap,2.2674999999999996,0.55
405,23.7,33,1,goal,2.8762499999999998,0.5625
406,-20.9,17,0,enemy,2.9212499999999997,0.5625
407,26.5,14,1,goal,3.54375,0.575
408,22.9,23,1,goal,4.17625,0.5875
409,-25.1,17,0,enemy,4.16625,0.5875
410,25.4,25,1,goal,4.776249999999999,0.6
411,25.2,18,1,goal,4.7775,0.6
412,25.3,17,1,goal,4.795,0.6
413,23.9,22,1,goal,5.397499999999999,0.6125
414,24.900000000000002,21,1,goal,5.404999999999999,0.6125
415,25.4,16,1,goal,5.999999999999999,0.625
416,-23.0,5,0,trap,5.418749999999999,0.6125
417,-23.4,12,0,trap,5.385,0.6125
418,20.599999999999998,46,1,goal,5.4624999999999995,0.6125
419,-23.0,5,0,trap,5.475,0.6125
420,26.1,18,1,goal,5.494999999999999,0.6125
421,21.6,36,1,goal,5.54125,0.6125
422,25.1,19,1,goal,6.145,0.625
423,-23.0,5,0,trap,5.58,0.6125
424,24.3,18,1,goal,5.61,0.6125
425,-23.5,10,0,trap,5.04125,0.6
426,23.3,28,1,goal,5.58,0.6125
427,24.1,20,1,goal,6.16625,0.625
428,-23.7,15,0,trap,5.56875,0.6125
429,-24.0,3,0,trap,5.57125,0.6125
430,23.6,25,1,goal,6.18125,0.625
431,-23.0,5,0,enemy,6.203749999999999,0.625
432,-24.0,3,0,enemy,6.1625,0.625
433,-23.2,7,0,trap,6.194999999999999,0.625
434,-23.3,8,0,trap,5.6225000000000005,0.6125
435,26.2,17,1,goal,5.6587499999999995,0.6125
436,25.8,21,1,goal,6.25625,0.625
437,23.7,24,1,goal,6.253749999999999,0.625
438,-23.5,10,0,enemy,5.7425,0.6125
439,25.8,21,1,goal,6.32625,0.625
440,24.9,21,1,goal,6.9125,0.6375
441,20.9,34,1,goal,6.85,0.6375
442,22.9,32,1,goal,7.426249999999999,0.65
443,-20.8,22,0,enemy,6.866249999999999,0.6375
444,25.2,18,1,goal,6.95125,0.6375
445,-21.2,17,0,enemy,6.35625,0.625
446,-23.5,10,0,enemy,5.748749999999999,0.6125
447,24.7,23,1,goal,5.762499999999999,0.6125
448,-24.0,3,0,enemy,5.1499999999999995,0.6
449,23.0,31,1,goal,5.12625,0.6
450,26.2,17,1,goal,5.74375,0.6125
451,26.5,14,1,goal,5.77875,0.6125
452,-22.7,8,0,enemy,5.231249999999999,0.6
453,22.1,22,1,goal,5.80125,0.6125
454,-23.4,9,0,trap,5.79625,0.6125
455,-23.0,5,0,trap,5.21,0.6
456,26.5,14,1,goal,5.26,0.6
457,25.9,20,1,goal,5.86875,0.6125
458,-23.8,13,0,trap,5.257499999999999,0.6
459,-22.8,15,0,trap,5.262499999999999,0.6
460,25.6,23,1,goal,5.30125,0.6
461,-21.2,23,0,enemy,5.3575,0.6
462,25.9,20,1,goal,5.3525,0.6
463,25.0,20,1,goal,5.965,0.6125
464,25.4,16,1,goal,6.046249999999999,0.6125
465,-24.0,21,0,enemy,6.0424999999999995,0.6125
466,-23.5,10,0,trap,5.445,0.6
467,24.2,19,1,goal,6.035,0.6125
468,26.0,19,1,goal,6.05375,0.6125
469,24.3,18,1,goal,6.063750000000001,0.6125
470,26.5,14,1,goal,6.10375,0.6125
471,23.1,21,1,goal,6.135,0.6125
472,25.4,16,1,goal,6.126250000000001,0.6125
473,-25.1,17,0,trap,5.50875,0.6
474,24.4,17,1,goal,5.48625,0.6
475,24.0,21,1,goal,5.455,0.6
476,24.0,21,1,goal,5.48625,0.6
477,24.5,16,1,goal,6.074999999999999,0.6125
478,-24.4,10,0,trap,5.46,0.6
479,24.4,17,1,goal,6.034999999999999,0.6125
480,24.4,26,1,goal,6.65375,0.625
481,-23.2,7,0,trap,6.058749999999999,0.6125
482,25.5,24,1,goal,6.055,0.6125
